dataset,size,algorithm,time_us,char_comparisons
reversed,2900,msd_radix_sort_with_quick,523.108,16504
reversed,3000,quick_sort,1448.76,45962
reversed,3000,merge_sort,1717.19,25850
reversed,3000,string_quick_sort,675.583,28909
reversed,3000,string_merge_sort,3777.27,11103
reversed,3000,msd_radix_sort,1290.64,14564
reversed,3000,msd_radix_sort_with_quick,535.167,17089
almost_sorted,100,quick_sort,28.908,953
almost_sorted,100,merge_sort,35.8082,797
almost_sorted,100,string_quick_sort,14.025,570
almost_sorted,100,string_merge_sort,85.7498,372
almost_sorted,100,msd_radix_sort,42.7998,468
almost_sorted,100,msd_radix_sort_with_quick,19.5168,557
almost_sorted,200,quick_sort,68.8584,2150
almost_sorted,200,merge_sort,77.925,1761
almost_sorted,200,string_quick_sort,32.9416,1273
almost_sorted,200,string_merge_sort,189.617,752
almost_sorted,200,msd_radix_sort,95.6332,972
almost_sorted,200,msd_radix_sort_with_quick,36.2416,1133
almost_sorted,300,quick_sort,120.217,3447
almost_sorted,300,merge_sort,123.358,2810
almost_sorted,300,string_quick_sort,47.2248,2004
almost_sorted,300,string_merge_sort,286.692,1184
almost_sorted,300,msd_radix_sort,121.833,1436
almost_sorted,300,msd_radix_sort_with_quick,49.642,1704
almost_sorted,400,quick_sort,160.417,5028
almost_sorted,400,merge_sort,177.3,3963
almost_sorted,400,string_quick_sort,72.0498,2950
almost_sorted,400,string_merge_sort,414.975,1588
almost_sorted,400,msd_radix_sort,169.642,1914
almost_sorted,400,msd_radix_sort_with_quick,68.8918,2247
almost_sorted,500,quick_sort,275.117,8472
almost_sorted,500,merge_sort,239.425,4984
almost_sorted,500,string_quick_sort,128.092,5263
almost_sorted,500,string_merge_sort,506.408,1960
almost_sorted,500,msd_radix_sort,219.417,2400
almost_sorted,500,msd_radix_sort_with_quick,86.4418,2809
almost_sorted,600,quick_sort,276.925,8207
almost_sorted,600,merge_sort,299.742,6315
almost_sorted,600,string_quick_sort,121.242,4896
almost_sorted,600,string_merge_sort,653.2,2489
almost_sorted,600,msd_radix_sort,247.167,2828
almost_sorted,600,msd_radix_sort_with_quick,107.108,3346
almost_sorted,700,quick_sort,327.358,9916
almost_sorted,700,merge_sort,365.308,7671
almost_sorted,700,string_quick_sort,131.325,5451
almost_sorted,700,string_merge_sort,743.692,2952
almost_sorted,700,msd_radix_sort,289.608,3310
almost_sorted,700,msd_radix_sort_with_quick,129.075,3923
almost_sorted,800,quick_sort,399.075,11070
almost_sorted,800,merge_sort,438.041,8763
almost_sorted,800,string_quick_sort,154.875,6331
almost_sorted,800,string_merge_sort,899.859,3318
almost_sorted,800,msd_radix_sort,320.825,3766
almost_sorted,800,msd_radix_sort_with_quick,140.2,4477
almost_sorted,900,quick_sort,417.95,12976
almost_sorted,900,merge_sort,467.908,10069
almost_sorted,900,string_quick_sort,175.308,7329
almost_sorted,900,string_merge_sort,1015.32,3881
almost_sorted,900,msd_radix_sort,372.192,4252
almost_sorted,900,msd_radix_sort_with_quick,159.042,5040
almost_sorted,1000,quick_sort,517.808,15784
almost_sorted,1000,merge_sort,555.3,11111
almost_sorted,1000,string_quick_sort,185.217,8167
almost_sorted,1000,string_merge_sort,1146.58,4219
almost_sorted,1000,msd_radix_sort,424.317,4760
almost_sorted,1000,msd_radix_sort_with_quick,168.841,5619
almost_sorted,1100,quick_sort,573.058,16544
almost_sorted,1100,merge_sort,625.35,12526
almost_sorted,1100,string_quick_sort,231.25,9182
almost_sorted,1100,string_merge_sort,1279.53,4736
almost_sorted,1100,msd_radix_sort,466.25,5222
almost_sorted,1100,msd_radix_sort_with_quick,196.442,6208
almost_sorted,1200,quick_sort,616.583,18626
almost_sorted,1200,merge_sort,682.425,14046
almost_sorted,1200,string_quick_sort,244.433,10080
almost_sorted,1200,string_merge_sort,1423.56,5398
almost_sorted,1200,msd_radix_sort,522.992,5716
almost_sorted,1200,msd_radix_sort_with_quick,233.858,6779
almost_sorted,1300,quick_sort,661.35,20368
almost_sorted,1300,merge_sort,764.933,15667
almost_sorted,1300,string_quick_sort,271.567,11203
almost_sorted,1300,string_merge_sort,1572.39,5913
almost_sorted,1300,msd_radix_sort,559.283,6224
almost_sorted,1300,msd_radix_sort_with_quick,238.7,7384
almost_sorted,1400,quick_sort,747.159,22664
almost_sorted,1400,merge_sort,846.525,17154
almost_sorted,1400,string_quick_sort,286.508,12059
almost_sorted,1400,string_merge_sort,1666.32,6460
almost_sorted,1400,msd_radix_sort,596.075,6696
almost_sorted,1400,msd_radix_sort_with_quick,271.267,7971
almost_sorted,1500,quick_sort,761.225,23365
almost_sorted,1500,merge_sort,964.55,18418
almost_sorted,1500,string_quick_sort,301.8,13053
almost_sorted,1500,string_merge_sort,1788.97,6867
almost_sorted,1500,msd_radix_sort,611.242,7180
almost_sorted,1500,msd_radix_sort_with_quick,267.808,8552
almost_sorted,1600,quick_sort,825.125,24960
almost_sorted,1600,merge_sort,939.65,19718
almost_sorted,1600,string_quick_sort,341.65,14563
almost_sorted,1600,string_merge_sort,1901.05,7363
almost_sorted,1600,msd_radix_sort,676.133,7674
almost_sorted,1600,msd_radix_sort_with_quick,294.384,9151
almost_sorted,1700,quick_sort,918.092,28215
almost_sorted,1700,merge_sort,1034.4,21186
almost_sorted,1700,string_quick_sort,353.242,15151
almost_sorted,1700,string_merge_sort,2014.49,7926
almost_sorted,1700,msd_radix_sort,715.383,8168
almost_sorted,1700,msd_radix_sort_with_quick,313.158,9787
almost_sorted,1800,quick_sort,922.55,28596
almost_sorted,1800,merge_sort,1060.49,22535
almost_sorted,1800,string_quick_sort,370.783,16213
almost_sorted,1800,string_merge_sort,2217.57,8407
almost_sorted,1800,msd_radix_sort,769.45,8694
almost_sorted,1800,msd_radix_sort_with_quick,329.675,10368
almost_sorted,1900,quick_sort,1001.57,29652
almost_sorted,1900,merge_sort,1164.61,23618
almost_sorted,1900,string_quick_sort,414.85,17521
almost_sorted,1900,string_merge_sort,2355.13,8829
almost_sorted,1900,msd_radix_sort,824.525,9184
almost_sorted,1900,msd_radix_sort_with_quick,371.034,10948
almost_sorted,2000,quick_sort,1071.97,33067
almost_sorted,2000,merge_sort,1289.83,24930
almost_sorted,2000,string_quick_sort,456.083,19538
almost_sorted,2000,string_merge_sort,2478.59,9241
almost_sorted,2000,msd_radix_sort,857.083,9660
almost_sorted,2000,msd_radix_sort_with_quick,367.85,11556
almost_sorted,2100,quick_sort,1102.7,33274
almost_sorted,2100,merge_sort,1324.46,26509
almost_sorted,2100,string_quick_sort,448.616,19285
almost_sorted,2100,string_merge_sort,2638.1,9803
almost_sorted,2100,msd_radix_sort,878.55,10132
almost_sorted,2100,msd_radix_sort_with_quick,381.825,12127
almost_sorted,2200,quick_sort,1118.79,34444
almost_sorted,2200,merge_sort,1402.97,28092
almost_sorted,2200,string_quick_sort,467,20772
almost_sorted,2200,string_merge_sort,2680.34,10437
almost_sorted,2200,msd_radix_sort,928.009,10632
almost_sorted,2200,msd_radix_sort_with_quick,408.492,12746
almost_sorted,2300,quick_sort,1155.88,36433
almost_sorted,2300,merge_sort,1420.06,29300
almost_sorted,2300,string_quick_sort,506.625,21838
almost_sorted,2300,string_merge_sort,2832.71,10935
almost_sorted,2300,msd_radix_sort,928.658,11104
almost_sorted,2300,msd_radix_sort_with_quick,421.708,13345
almost_sorted,2400,quick_sort,1224.22,37014
almost_sorted,2400,merge_sort,1557.35,30915
almost_sorted,2400,string_quick_sort,542.492,22915
almost_sorted,2400,string_merge_sort,3044.13,11669
almost_sorted,2400,msd_radix_sort,1079.59,11626
almost_sorted,2400,msd_radix_sort_with_quick,457.45,13939
almost_sorted,2500,quick_sort,1245.53,38546
almost_sorted,2500,merge_sort,1657.05,32308
almost_sorted,2500,string_quick_sort,549.808,23769
almost_sorted,2500,string_merge_sort,3164.54,11979
almost_sorted,2500,msd_radix_sort,1094.07,12114
almost_sorted,2500,msd_radix_sort_with_quick,470.167,14533
almost_sorted,2600,quick_sort,1318.1,40711
almost_sorted,2600,merge_sort,1737.68,33794
almost_sorted,2600,string_quick_sort,574.667,25561
almost_sorted,2600,string_merge_sort,3288.44,12479
almost_sorted,2600,msd_radix_sort,1074.33,12598
almost_sorted,2600,msd_radix_sort_with_quick,484.908,15152
almost_sorted,2700,quick_sort,1237.98,40051
almost_sorted,2700,merge_sort,1688.96,35336
almost_sorted,2700,string_quick_sort,615.975,26652
almost_sorted,2700,string_merge_sort,3382.84,13228
almost_sorted,2700,msd_radix_sort,1113.49,13092
almost_sorted,2700,msd_radix_sort_with_quick,501.033,15769
almost_sorted,2800,quick_sort,1334.78,42544
almost_sorted,2800,merge_sort,1795.41,36346
almost_sorted,2800,string_quick_sort,630.375,26575
almost_sorted,2800,string_merge_sort,3595.14,13739
almost_sorted,2800,msd_radix_sort,1213.32,13600
almost_sorted,2800,msd_radix_sort_with_quick,556.858,16368
almost_sorted,2900,quick_sort,1438.3,44743
almost_sorted,2900,merge_sort,1964.09,38121
almost_sorted,2900,string_quick_sort,664.233,27922
almost_sorted,2900,string_merge_sort,3710.87,14360
almost_sorted,2900,msd_radix_sort,1232.29,14080
almost_sorted,2900,msd_radix_sort_with_quick,555.6,16976
almost_sorted,3000,quick_sort,1515.72,47261
almost_sorted,3000,merge_sort,1986.04,39182
almost_sorted,3000,string_quick_sort,685.925,29985
almost_sorted,3000,string_merge_sort,3733.36,14694
almost_sorted,3000,msd_radix_sort,1221.04,14564
almost_sorted,3000,msd_radix_sort_with_quick,562.892,17597
common_prefix,100,quick_sort,727.083,51655
common_prefix,100,merge_sort,676.984,44688
common_prefix,100,string_quick_sort,90.8332,8530
common_prefix,100,string_merge_sort,211.508,8435
common_prefix,100,msd_radix_sort,412.616,16360
common_prefix,100,msd_radix_sort_with_quick,357.867,16258
common_prefix,200,quick_sort,1803.74,124538
common_prefix,200,merge_sort,1599.18,104203
common_prefix,200,string_quick_sort,176.042,17418
common_prefix,200,string_merge_sort,425.475,17082
common_prefix,200,msd_radix_sort,715.658,32794
common_prefix,200,msd_radix_sort_with_quick,645.983,32605
common_prefix,300,quick_sort,3048.98,212791
common_prefix,300,merge_sort,2610.89,171081
common_prefix,300,string_quick_sort,261.483,26123
common_prefix,300,string_merge_sort,696.8,25843
common_prefix,300,msd_radix_sort,1038.53,49224
common_prefix,300,msd_radix_sort_with_quick,945.491,49026
common_prefix,400,quick_sort,4638.9,315906
common_prefix,400,merge_sort,3731.43,241807
common_prefix,400,string_quick_sort,345.35,35069
common_prefix,400,string_merge_sort,945.466,34601
common_prefix,400,msd_radix_sort,1373.95,65656
common_prefix,400,msd_radix_sort_with_quick,1295.91,65463
common_prefix,500,quick_sort,5891,406798
common_prefix,500,merge_sort,4785.72,313798
common_prefix,500,string_quick_sort,438.75,44537
common_prefix,500,string_merge_sort,1183.86,43416
common_prefix,500,msd_radix_sort,1622.82,82076
common_prefix,500,msd_radix_sort_with_quick,1548.05,81947
common_prefix,600,quick_sort,6258.03,440692
common_prefix,600,merge_sort,5953.47,390088
common_prefix,600,string_quick_sort,528.658,52957
common_prefix,600,string_merge_sort,1456.85,52222
common_prefix,600,msd_radix_sort,1959.42,98512
common_prefix,600,msd_radix_sort_with_quick,1885.61,98518
common_prefix,700,quick_sort,8697.84,581335
common_prefix,700,merge_sort,7465,468512
common_prefix,700,string_quick_sort,638.558,62570
common_prefix,700,string_merge_sort,1722.4,61085
common_prefix,700,msd_radix_sort,2335.08,114968
common_prefix,700,msd_radix_sort_with_quick,2213.72,115070
common_prefix,800,quick_sort,10016.6,684182
common_prefix,800,merge_sort,9214.73,548433
common_prefix,800,string_quick_sort,834.875,71853
common_prefix,800,string_merge_sort,2156.58,69982
common_prefix,800,msd_radix_sort,3301.87,131412
common_prefix,800,msd_radix_sort_with_quick,2609.18,131681
common_prefix,900,quick_sort,12115.9,830445
common_prefix,900,merge_sort,9556.74,628124
common_prefix,900,string_quick_sort,806.1,80688
common_prefix,900,string_merge_sort,2189.21,78892
common_prefix,900,msd_radix_sort,2892.86,147858
common_prefix,900,msd_radix_sort_with_quick,2760.81,148305
common_prefix,1000,quick_sort,12564.2,859445
common_prefix,1000,merge_sort,10917.8,708037
common_prefix,1000,string_quick_sort,870.475,89889
common_prefix,1000,string_merge_sort,2458.17,87793
common_prefix,1000,msd_radix_sort,3196.57,164310
common_prefix,1000,msd_radix_sort_with_quick,3105.91,165010
common_prefix,1100,quick_sort,13565.2,953261
common_prefix,1100,merge_sort,12170,794695
common_prefix,1100,string_quick_sort,985.883,98119
common_prefix,1100,string_merge_sort,2744.25,96724
